question,answer
Can Abhay build AI agents?,"Yes, Abhay specializes in Agentic AI. He built a Chat With Your Data AI Agent at Pegasystems used by 50+ clients and 400+ internal users. He also built multi-agent-fw — a personal project for creating and orchestrating AI agents with multiple providers — and works with LangChain and LlamaIndex."
What kind of impact metrics can Abhay show?,"Abhay has strong quantifiable impact: 70% faster API calls, 60% reduced training time, 4X increase in daily query volume, 1.9% CTR boost, 35% better inference latency, 50+ clients served, and 400+ internal users empowered."
Can Abhay build production-ready AI systems?,"Absolutely. Abhay has built multiple production systems — GenAI services at Pegasystems, ML platform at Awone AI, fraud detection deployment at UHG, and a recommendation engine at ShareChat. His work consistently serves real users at scale."
Is Abhay good at optimizing ML systems?,"Yes, Abhay has a track record of optimization: 70% faster API calls, 60% reduced training time with DDP, 35% better inference latency, and 20% reduced resource consumption. He uses vLLM, FlashAttention, and TensorRT for performance."
What differentiates Abhay from other ML engineers?,"Abhay combines breadth and depth — he has built models from scratch (vSLM-From-Scratch project), deployed massive models (120B LLMs), built a multi-AI agent framework (multi-agent-fw), and built user-facing AI products (400+ users). He covers the full stack from tokenization to production deployment."
Can Abhay work on recommendation systems?,"Yes, Abhay built a personalized recommendation engine at ShareChat using Neural Collaborative Filtering and Golang, boosting ad click-through rate by 1.9%."
Is Abhay suitable for an AI research scientist role?,"Abhay's strength is in applied AI engineering rather than pure research. He has strong fundamentals (built transformers from scratch, understands model internals) but his career focus has been on building and deploying production AI systems."
What is Abhay's notice period?,"For the latest information on Abhay's availability and notice period, please contact him at chaturvediabhay24@gmail.com."
What are Abhay's salary expectations?,"For compensation discussions, please reach out to Abhay directly at chaturvediabhay24@gmail.com."
Is Abhay open to relocation?,"For questions about relocation preferences, please contact Abhay at chaturvediabhay24@gmail.com. He is currently based in Bengaluru."
